svl	head_depth	d_tymp_rost	head_width	antebrachium	shank	toe	depth_pect	treename	genus	species
91.75	10.2775	19.66875	12.83875	8.68875	14.00125	12.14875	13.20875	eulamprus_heatwolei	eulamprus	heatwolei
68	7.73	14.24	9.5025	5.4025	9.14	8.4175	9.14	eulamprus_kosciuskoi	eulamprus	kosciuskoi
60	6.8216666667	12.3616666667	9.5483333333	5.5616666667	9.34	8.1033333333	7.48	eulamprus_martini	eulamprus	martini
91.6666666667	10.8083333333	18.9741666667	15.05	8.5533333333	12.8566666667	10.4158333333	11.5225	eulamprus_murrayi	eulamprus	murrayi
106.4	12.263	22.781	15.337	9.403	16.478	13.923	13.924	eulamprus_quoyii	eulamprus	quoyii
70.8333333333	7.1716666667	14.1666666667	9.1666666667	6.0666666667	10.8183333333	9.59	8.965	eulamprus_tenuis	eulamprus	tenuis
72	8.115	15.895	11.255	7.265	10.985	9.805	9.785	eulamprus_tigrinus	eulamprus	tigrinus
90.25	9.9125	18.4975	13.03	8.2375	13.44	11.375	11.975	eulamprus_tryoni	eulamprus	tryoni
76.75	8.42	15.8525	11.1058333333	6.5616666667	11.2441666667	9.3991666667	9.6208333333	eulamprus_tympanum	eulamprus	tympanum
46	2.8075	6.575	4.185	1.9075	4.0275	2.9025	3.525	glaphyromorphus_cracens	glaphyromorphus	cracens
50.5	3.8575	7.98	5.215	2.44	4.5625	3.705	4.68	glaphyromorphus_darwiniensis	glaphyromorphus	darwiniensis
90.5	10.1583333333	15.7933333333	11.7966666667	6.4283333333	10.72	7.9966666667	11.9833333333	glaphyromorphus_douglasi	glaphyromorphus	douglasi
80	7.5	14.075	10.38	5.3	9.355	7.065	10.035	glaphyromorphus_fuscicaudis	glaphyromorphus	fuscicaudis
84.5	7.86625	14.2125	10.41625	6.11125	9.92875	7.5225	11.17875	glaphyromorphus_nigricaudis	glaphyromorphus	nigricaudis
58.6666666667	5.9366666667	10.75	7.095	3.6783333333	6.29	5.5383333333	6.765	glaphyromorphus_pardalis	glaphyromorphus	pardalis
63.75	4.51125	8.6875	6.1525	2.27	5.09125	2.82875	6.0775	glaphyromorphus_punctulatus	glaphyromorphus	punctulatus
69.8	7.525	14.872	10.872	6.373	11.568	9.336	8.936	gnypetoscincus_queenslandiae	gnypetoscincus	queenslandiae
58	3.9216666667	7.7466666667	5.135	2.0133333333	3.7566666667	1.785	4.6566666667	hemiergis_decresiensis	hemiergis	decresiensis
42.5	2.91125	6.0425	3.87375	1.705	3.11875	1.34	3.295	hemiergis_initialis	hemiergis	initialis
45.5	3.1825	8.0525	4.8125	2.195	4.375	3.1	3.6325	hemiergis_millewae	hemiergis	millewae
